__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__2 , 友邦 中国年 实现 新 业务 价值 同比 增长
__label__2 , 友邦保险 发布 年 年报 中国区 新 业务 价值 同比 增长
__label__2 , 友邦保险 年报 中国 内地 增长 再次 领跑 新 业务 价值 同比 增
__label__2 , 美银 美林 维持 友邦 买入 评级 目标价 元
__label__2 , 高盛 重申 友邦 买入 评级 目标价 元 不变
__label__1 , 友邦保险 年 业绩 出炉 友邦 中国新 业务 价值 同比 增长
__label__2 , 重申 友邦 优于 大市 评级
__label__3 , 友邦保险 年 股东 应 占 溢利 下滑 亿美元
__label__2 , 大摩 予 友邦 增持 评级 目标价 元
__label__3 , 友邦 公布 业绩 后盘 前 跌
__label__1 , 友邦保险 税后 营运 溢利 上升 亿美元
__label__2 , 友邦保险 新 业务 价值 增长 末期 息港 仙 特别 股息 港仙
__label__2 , 友邦保险 偿付能力 充足率
__label__2 , 友邦保险 香港 新 业务 价值 上升 亿美元
__label__2 , 友邦保险 天津市 河北省 石家庄市 筹建 营销服务部
__label__2 , 俊知集团 年度 股东 应 占 溢利 增至 亿元 每股 派息 港仙
__label__2 , 俊知集团 去年 盈利 亿 人民币 派 末期 港仙
__label__1 , 俊知集团 加入 林业 草原 物联网 人工智慧 应用 科技 创新联盟
__label__2 , 概念股 近月 走势 凌厉 部署 基建 设备 股为 大赢家
__label__2 , 俊知集团 委任 李耀威 公司 秘书 职
__label__2 , 低调 起来
__label__3 , 陈帆 城获任 俊知集团 独立 非执 董等 职务
__label__3 , 俊知集团 潘翼 鹏 辞任 独立 非 执行 董事
__label__1 , 俊知集团 完成 收购 盛杰 股权
__label__1 , 俊知集团 年度 纯利 增至 亿元 末期 息 每股 港仙
__label__1 , 兴业证券 铜价 上升 提振 营业额 坏账 拨备 减少 净利 大增
__label__1 , 俊知集团 料 中期 净利 同比 增
__label__1 , 俊知 携手 电信 宜兴 分公司 发展 智能 制造业
__label__1 , 俊知 收回 应收 账款 今年 业绩 好转
__label__3 , 俊知集团 预期 年度 净利 同比 减少 约
__label__1 , 联怡 香港 增持 俊知集团 万股 耗资 万 港币
__label__3 , 兴业证券 俊知集团 减值 拨备 拖累 净利润 光缆 产能 提升
__label__1 , 辉立 证券 前景 向好 荐 俊知集团
__label__1 , 俊知 下半年 电信 营运商 料 加大 网络建设
__label__1 , 俊知 强攻 亿元 规模 光缆 市场
__label__1 , 俊知 半年 多赚 亿元 派息 港仙
__label__1 , 辉立 证券 前景 向好 推荐 俊知集团
__label__1 , 俊知集团 引入 股 怡亚通 策略 股东
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 三 日增 持 万股
__label__2 , 德基科技控股 董事 行使 购 股权 折让 发行 万股
__label__3 , 德基 科技 去年 转蚀 万 人民币 派息
__label__3 , 朱 李月华 金利丰 搜查 影响 运作
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 三 日增 持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__1 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 两 日增 持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__2 , 德基 科技 获 主席 兼 执董 蔡鸿 增持 万股
__label__3 , 德基科技控股 中期 业绩 由盈 转亏 万元
__label__1 , 德基科技控股 年度 业绩 扭亏为盈 万元
__label__1 , 德基 科技 积极参与 地球 小时 活动
__label__1 , 德基科技控股 上半年 净利 增加 万元
__label__1 , 德基科技控股 预计 中期 溢利 增加
__label__1 , 交银 国际 维持 德基 科技 中性 评级
__label__3 , 德基 科技 正 对抗 行业 疲软 需求 下调 收集
__label__3 , 德基 科技 发盈警 营业额 有所 下跌
__label__3 , 交银 国际 予 德基 科技 评级 下调 长线 买入
__label__1 , 德基 科技 人民币 贬值 有助 扩展 海外 市场
__label__1 , 德基 科技 首日 挂牌 半日 升近
__label__2 , 先健科技 拟 采纳 新购 股权 计划
__label__2 , 先健科技 创新型 手术 机器人 解决方案 达成 战略 合作 协议 进军 肝癌 治疗 领域
__label__2 , 先健科技 股东 投资者 存在 误解 暂停 深圳 茗 柯设 合资
__label__2 , 先健科技 拟伙 核心技术 团队 设 合资企业
__label__3 , 先健科技 执行 董事 辞任
__label__2 , 先健科技 年 股东 应 占 利润 同比 下滑 亿元
__label__2 , 先健科技 附属 深圳 茗 柯 订立 谅解 备忘录 拟 设立合资企业
__label__3 , 先健科技 年度 少 赚 亿元
__label__3 , 先健科技 预期 年 净利 同比 下滑
__label__2 , 先健科技 委任 财通 国际 融资 独立 财务顾问
__label__3 , 先健科技 月 日 注销 万股 回购 股份
__label__2 , 先健科技 外周 支架 系统 进入 创新 医疗器械 特别 审批 程序
__label__3 , 中国 光大集团 减持 先健科技 万股 每股 作价 港元
__label__2 , 先健科技 获 增持 万股
__label__2 , 先健科技 指示信 托人 折让 中国光大控股 购买 不超 亿股 公司 股份
__label__2 , 先健科技 采纳 股份 奖励 计划
__label__1 , 先健科技 股价 持续 低迷 月 日 再次 回购 万股
__label__2 , 重磅 新 产品 相继 上市 先健科技 可否 一骑绝尘
__label__2 , 连续 年高 增长 这家 医疗 细分 龙头 有何 秘诀
__label__2 , 先健科技 美敦力 辖免 提供 咨询服务 服务费
__label__2 , 先健科技 美敦力 签订 一系列 修订 协议 降低 心脏 起搏 产品 生产成本
__label__2 , 先健科技 月 日 授出 万份 购 股权
__label__3 , 先健科技 股东 应 占 中期 溢利 减少 万元
__label__1 , 先健科技 美敦力 达成 修订 补充协议
__label__1 , 天风证券 先健科技 处于 高速 成长期 首予 持有 评级
__label__1 , 先健科技 联合 汇桥 资本 完成 独角兽 思为 诺 战略 投资
__label__3 , 汇力资源 去年 亏损 万 人民币 派息
__label__3 , 汇力资源 年 股东 应 占 亏损 减少 万元 独立 核数师 发表 保留意见
__label__3 , 李晓斌 辞任 汇力资源 执董 主席 授权代表
__label__2 , 汇力资源 贾岱 辞任 执行 董事
__label__2 , 汇力资源 达成 复牌 条件 月 日 复牌
__label__2 , 汇力资源 拟 委任 香港 立信 德豪 会计师事务所 新 核数师
__label__2 , 汇力资源 授出 一笔 金额 亿元 贷款
__label__3 , 汇力资源 中期 股东 应 占 亏损 同比 扩大 万元 继续 停牌
__label__3 , 汇力资源 年度 亏损 万 人民币 派息
__label__3 , 汇力资源 年度 股东 应 占 亏损 同比 扩大 万元 继续 停牌
__label__3 , 汇力资源 召开 董事会 会议 批准 年度 业绩 年 中期 业绩 继续 停牌
__label__3 , 汇力资源 预计 年度 业绩 中期 业绩 于月 刊发 继续 停牌
__label__2 , 汇力资源 达成 第一项 复牌 条件
__label__2 , 汇力资源 预计 月 中旬 刊发 中期 业绩 继续 停牌
__label__2 , 汇力资源 委任 独立 非 执行 董事
__label__3 , 黄梅 接替 孙枝 丽 获任 汇力资源 独董 职务
__label__2 , 汇力资源 预期 年度 业绩 中期 业绩 于月 中旬 刊发
__label__2 , 汇力资源 预期 于月 中旬 刊发 年度 业绩 继续 停牌
__label__3 , 汇力资源 年度 公司 权益 持有人 应 占 亏损 扩大 万元
__label__1 , 汇力资源 附属 大捷 山 达成 和解 协议 继续 停牌
__label__3 , 汇力资源 中期 股东 应 占 亏损 同比 收窄 万元
__label__1 , 汇力资源 斥亿购 融资 租赁 公司
__label__1 , 李广荣 增持 汇力资源 万股 耗资 万 港币
__label__3 , 汇力资源 出售 陕西 佳合 矿业
__label__1 , 汇力资源 折让 集资 亿元
__label__3 , 汇力资源 发盈 警料 去年 亏损 增加
__label__1 , 伟志控股 年度 盈利 万元 派息
__label__1 , 伟志控股 年 净利 同比 增长 万港元
__label__2 , 伟志控股 料 年度 净利润 大幅 涨 逾
__label__2 , 伟志控股 预计 年度 股东 应 占 溢利 增长 逾
__label__2 , 伟志控股 上半年 净利 同比 增长 万元
__label__1 , 伟志控股 全年 净利 同比 增长 约 倍至 万港元
__label__1 , 决战 港股 伟志控股 路演 车载 业务 再创 佳绩 海外 照明 增长 期
__label__1 , 伟志控股 扭亏为盈 中期 纯利 万港元
__label__1 , 伟志控股 业绩 露 曙光 静待 货干博 反弹
__label__1 , 伟志控股 去年 扭亏为盈 转 万港元 派息
__label__2 , 伟志控股 要约 接获 万股 有效 接纳 持股 达
__label__1 , 王勃 主席 提要 约 伟志
__label__1 , 伟志控股 获 姚志 图提 全面 要约 收购 日复牌
__label__3 , 港股 伟志控股 上半年 营收 下降 背光 照明 产品 营收 全线 下滑
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 陆方 减持 伟志控股 万股 套现 万 港币
__label__3 , 伟志控股 半年 少 赚 逾 派息 仙
__label__2 , 汇丰 海丰国际 维持 目标价 港元 给予 买入 评级
__label__1 , 海丰国际 首季 收入 同比增加 约 亿美元
__label__2 , 交银 国际 预计 干散货 运价 短期 持续 低迷
__label__2 , 海丰国际 合计 授出 万股 奖励 股份
__label__1 , 海丰国际 年度 净利润 按年 上升 末期 息 每股 港仙
__label__2 , 海丰国际 信托 股份 奖励 计划 购买 万股
__label__2 , 海丰国际 拟 新造 三艘 集装箱 船舶 总 代价 万美元
__label__2 , 海丰国际 前个 月 收入 同比 增至 亿美元
__label__2 , 海丰国际 获 增持 万股
__label__2 , 大华 继显 海丰国际 买入价 港元
__label__2 , 海丰国际 获 增持 万股
__label__2 , 航运 股 反弹 太平洋 航运 海丰国际 涨约 半成
__label__3 , 海丰国际 遭 减持 万股
__label__3 , 海丰国际 遭 减持 万股
__label__2 , 海丰国际 业务 正常 营运 未 台风 海燕 影响
__label__3 , 大和 降 海丰国际 目标 至元 予 买入 评级
__label__2 , 海丰国际 中期 利润 万美元
__label__2 , 海丰国际 上半年 净利 同比 增长 万美元
__label__1 , 大和 航运 物流 公司 贸易 前景 仍然 乐观 行业 首选 中国民航 信息
__label__1 , 海丰国际 首个 月 收入 同比增加 亿美元
__label__1 , 海丰国际 授出 合共 万股 奖励 股份
__label__1 , 海丰国际 年度 净利润 同比 增至 亿美元 每股 派息 港仙
__label__1 , 大行 评级 大和 上调 海丰国际 目标价 港元 评级 维持 买入
__label__1 , 海丰国际 修订 年 净利 预增
__label__1 , 海丰国际 奖励 万股 予名 获选 参与者
__label__2 , 香港宽频 月 日 发行 亿股
__label__2 , 瑞信 香港宽频 目标价 升至 港元 跑 赢大 市 评级
__label__2 , 香港宽频 收购 股权 先决条件 已达成
__label__2 , 香港宽频 美国 资本集团 减持 万股
__label__3 , 减持 香港宽频 万股 每股 作价 约 港元
__label__1 , 招银 国际 建议 买入 香港宽频 目标价 港元
__label__3 , 香港宽频 美国 资本集团 减持 万股
__label__3 , 香港宽频 减持 万股
__label__2 , 香港宽频 名新 参与者 授出 万份 受限制 股份 单位
__label__2 , 摩通 香港电讯 目标价 升至 元 给予 增持 评级
__label__3 , 香港宽频 减持 万股
__label__2 , 香港宽频 名新 参与者 授出 万份 受限制 股份 单位
__label__2 , 美银 美林 内地 电信 股 首选 中 移动 香港 看好 香港宽频 香港电讯
__label__2 , 香港宽频 延长 收购 股份 完成 日期
__label__2 , 汇证 香港 频谱 成本低 营运 艰难 看好 香港宽频 和记
__label__2 , 香港宽频 获 增持 万股
__label__2 , 港股 开盘 前瞻 外围 环境 因素 待出 港股 宜 观望
__label__2 , 野村 升 香港 宽带 目标价 港元 维持 买入
__label__2 , 美银 美林 升 香港宽频 目标价 港元 评级 买入
__label__2 , 美银 美林 香港宽频 目标价 升至 港元 维持 买入 评级
__label__2 , 香港宽频 预告 紧密 合作
__label__2 , 看好 十大 港股 高盛 重申 舜宇 确信 买入 目标价 元
__label__2 , 看好 十大 港股 美银 美林 予 中海油 目标价 港元
__label__2 , 摩根士丹利 预期 香港宽频 未来 天 股价 上升
__label__2 , 大摩 香港宽频 未来 天 股价 将会 上升 评级 增持
__label__2 , 香港宽频 获 增持 万股
__label__2 , 香港宽频 亿港元 完成 收购 宇正 股权
__label__2 , 大华 继显 香港宽频 买入 区间 港元
__label__1 , 香港宽频 获大 股东 增持 万股
__label__2 , 香港宽频 拟 亿港元 收购 香港 新界 葵涌 物业
__label__3 , 香港宽频 百亿 收购 股价 跌
__label__1 , 香港宽频 获 增持 万股
__label__1 , 连续 放量 香港宽频 早盘 再创新高
__label__3 , 港股 复盘 地产 手机 受压 拖累 市场 港股 延续 调整
__label__1 , 中期 业绩 超 预期 获 多个 大行 看高 目标价 香港宽频 涨 再创新高
__label__1 , 大摩 香港宽频 上半年 表现 稳固 胜 预期 给予 增持 评级
__label__3 , 同方康泰 上海 上联 终止 中材 装备 设备 机器 购买 协议
__label__2 , 同方康泰 中核 资本 成为 清华同方 单一 最大 控股 股东
__label__1 , 同方康泰 年 业绩 扭亏为盈 万港元
__label__2 , 同方康泰 预计 年度 纯利 增幅 不少
__label__3 , 知网 被告 毛利率 仍撑 不起 母公司 亿巨亏
__label__1 , 同方康泰 获 增持 万股
__label__2 , 同方康泰 清华同方 控股权 拟 易主 国资委
__label__1 , 同方康泰 获 增持 万股
__label__2 , 同方康泰 获 增持 万股
__label__2 , 同方康泰 获 增持 万股
__label__2 , 同方康泰 治疗 肝癌 乙肝 小分子 药 系列 化合物 提出 专利申请
__label__3 , 水泥 股 全线 向下 海螺水泥 华润水泥 均 跌 近
__label__3 , 同方康泰 终止 出售 水泥 业务 公司
__label__3 , 黄清海 辞任 同方康泰 执董 职务
__label__2 , 同方康泰 延长 出售 水泥公司 期限
__label__3 , 原创 水泥 市场 观察 窘困 现实 共赢 愿景
__label__1 , 同方康泰 完成 收购 同方药业 权益
__label__1 , 同方康泰 附属 重庆 康乐 获 重庆市 食监局 颁发 证书
__label__1 , 同方康泰 配发 亿股 新 股份 认购 同方药业 余下 股权
__label__1 , 同方康泰 首席 执行官 蒋朝 文获 委任 执行 董事
__label__1 , 海螺水泥 升幅 扩至 瑞信 予跑 赢大 市 目标 看元
__label__3 , 同方康泰 总经理 黄清海 牵涉 山水水泥 衍生 诉讼
__label__3 , 同方康泰 公司 股东 应 占 中期 亏损 万港元 同比 减少
__label__1 , 同方康泰 预计 中期 扭亏为盈
__label__1 , 同方康泰 完成 收购 健身 业务 公司 若干 股权
__label__1 , 同方康泰 附属 亿元 贷款 签订 第三份 延长 框架 合同
__label__2 , 同方康泰 曾升 缩得 好快
__label__2 , 国都 香港 圣诞 假期 临近 港股 动力 有限
__label__2 , 黄俞 增持 同方康泰 万股 耗资 万 港币
__label__2 , 瑞银 下调 华润水泥 目标价
__label__3 , 华润水泥控股 首季 股东 应 占 溢利 同比 减少 亿港元
__label__3 , 反垄断 告诫 会 通报 混凝土 业 垄断案 要求 水泥企业 自查自纠
__label__2 , 家 水泥企业 参加 告诫 会 反垄断 局 要求 行业协会 企业 进行 自查
__label__3 , 建材 领域 垄断 行为 时有发生 家 水泥企业 点名 参加 告诫 会
__label__3 , 反垄断 局点 名家 水泥企业 听取 告诫
__label__2 , 斥资 亿 收购 石材 公司 华润水泥 意欲何为
__label__2 , 华润水泥控股 附属 共 斥资 亿 收购 石材 业务
__label__2 , 华润水泥控股 斥 亿元 增持 环球 石材 东莞 股权 持股 达
__label__2 , 华润水泥 做 华南 龙头 更要 做 大湾区 第一
__label__2 , 国泰君安 维持 建材行业 增持 评级
__label__2 , 数据 派 四大 水泥 巨头 企业 规模 盈利 销量
__label__1 , 国君 香港 华润水泥 目标价 港元 给予 收集 评级
__label__2 , 光大证券 预计 水泥 行业 多数 公司 季度 业绩 明显 优于 市场 预期
__label__2 , 华润水泥控股 获得 亿港元 定期 贷款
__label__2 , 优秀 吓人 华润水泥 封神 路 两年 半 股价 翻 十倍
__label__2 , 华润水泥 十倍 牛股 变现 一年
__label__2 , 建银国际 维持 华润水泥 中性 评级 目标价 港元
__label__2 , 野村 润泥 去年 业绩 佳惟 派息 令人 失望 重申 买入 评级
__label__3 , 瑞信 华润水泥 目标价 下调 至元 维持 跑 赢大 市 评级
__label__3 , 瑞信 下调 润泥 目标价 至元 维持 跑 赢大 市 评级
__label__1 , 大摩 维持 华润水泥 增持 评级 目标价 元
__label__2 , 华润水泥控股 年 股东 应 占 溢利 同比 增长 倍至 亿港元 末期 息 港元
__label__3 , 华润水泥控股 撤销 公开 挂牌 出售 家 山西 附属 公司
__label__2 , 港股 午评 恒指 涨内险 股大涨 中国人寿 领涨 蓝筹
__label__2 , 翠华控股 委任 李祉键 行政 总裁
__label__3 , 翠华 新 品牌 须待 成熟期 前期 毛利率 相对 低
__label__3 , 翠华控股 中期 股东 应 占 利润 同比 下滑 万元
__label__3 , 翠华控股 预计 中期 溢利 同比 减少 超
__label__2 , 翠华控股 月 日 受托人 耗资 万港元 收购 万股
__label__1 , 翠华控股 采纳 股份 奖励 计划
__label__3 , 翠华控股 全年 净利 同比 下滑 万元
__label__1 , 翠华控股 订立 合营 协议 拓展 新加坡 业务
__label__2 , 翠华控股 今年 加价 打算
__label__1 , 冲基 基金 股东 轰 翠华 主席 购物 业促 回购 股份
__label__1 , 李庆全 翠华 寻求 突破 上望 元
__label__2 , 翠华控股 股权 变动 风雨 已过 目前 卖盘 计划
__label__1 , 管理层 变动 频繁 翠华 老中青 三代 活力
__label__2 , 翠华控股 中期 少 赚 股价 午后 弹
__label__2 , 翠华控股 中期 收益 亿港元 股息 每股 港仙
__label__3 , 翠华控股 预期 月 净利润 同比 下滑
__label__1 , 翠华控股 月 日 回购 万股 耗资 万 港币
__label__1 , 翠华控股 月 日 回购 万股 耗资 万 港币
__label__1 , 翠华控股 月 日 回购 万股 耗资 万 港币
__label__2 , 瑞信 降 翠华控股 评级 中性 目标价 下调 至元
__label__1 , 周四 展望 重点 布局 十大 板块 优质 股
__label__1 , 翠华 威灵顿 街店 停业 月 转 走 高档 路线
__label__1 , 金利丰 证券 前景 向好 推荐 翠华
__label__3 , 允升国际 法证 团队 完成 法务 审阅 第一阶段 实地 审查 继续 停牌
__label__2 , 允升国际 预计 于月 下旬 公布 年 中期 业绩 继续 停牌
__label__3 , 允升国际 未能 年月日 前复牌 取消 上市 地位
__label__2 , 允升国际 公布 中期 业绩 月 日 停牌
__label__3 , 允升国际 年度 收益 同比 减少 亿港元 派息
__label__3 , 允升国际 年度 净亏损 大幅 扩大 倍至 万港元
__label__3 , 港股 复盘 南下 资金 出走 恒指 本月 下挫 千点
__label__1 , 全球 资金 流向 监测 海外 资金 加速 流入 港股
__label__3 , 允升国际 中期 业绩 盈转 亏 股东 应 占 亏损 万港元
__label__3 , 允升国际 预期 中期 业绩 由盈 转亏
__label__1 , 允升国际 拟 修订 公司 组织 章程 大纲 细则
__label__1 , 异动股 允升国际 盘前 升
__label__3 , 允升国际 财年 转蚀 万港元 派息
__label__3 , 允升国际 逆市 挫 逾 暂录 五连跌
__label__1 , 允升国际 石墨烯 防腐涂料 技术 作价 成立 合资 公司
__label__1 , 允升国际 水质 处理 技术 获得 突破
__label__1 , 允升 年 产能 约 吨 首条 石墨烯 生产线 完成 试行
__label__1 , 增持 允升国际 万股 耗资 万 港币
__label__1 , 增持 允升国际 万股 耗资 万 港币
__label__1 , 增持 允升国际 万股 耗资 万 港币
__label__1 , 允升国际 终止 售楼 宇 建造 业务
__label__3 , 允升国际 控股 股东 减持 万股
__label__3 , 允升国际 控权 股东 售 股权 仍持 股权
__label__1 , 允升国际 万 出售 楼宇 建造 保养 业务
__label__1 , 允升国际 售 业务 有近 亿 收益
__label__2 , 耐世特 董事 行使 购 股权 折让 发行 万股
__label__2 , 麦格理 降 耐世特 目标价 至元 评级 跑 赢大 市
__label__2 , 耐世特 业绩 公告 打消 坐等 解套 想法
__label__3 , 摩通 下调 耐世特 目标价 至元 评级 中性
__label__2 , 里昂 下调 耐世特 目标价 至元 评级 买入
__label__2 , 耐世特 年度 净利润 增加 亿美元
__label__2 , 中信证券 建议 三个 维度 筛选 优质 汽车 零部件 标的 附股
__label__3 , 瑞信 耐世特 目标价 下调 至元 给予 跑 赢大 市 评级
__label__2 , 花旗 首予 汽车零件 供应商 买入 评级 看好 耐世特
__label__2 , 耐世特 建立 战略性 软件 中心 拓展 全球 软件研发团队
__label__2 , 大和 耐世特 目标价 降至 港元 维持 跑 赢大 市 评级
__label__3 , 大和 降 耐世特 目标价 港元 评级 跑 赢大 市
__label__2 , 野村 降 耐世特 目标价 港元 维持 中性 评级
__label__2 , 天瑞 汽车 西北 重卡 内饰 王 市盈率 约 倍
__label__3 , 冬天 会 冷 汽车 进口关税 下调 初冬 时 一缕阳光
__label__2 , 汇丰 证券 首予 耐世特 目标价 元
__label__3 , 销售 转弱 车股 盈利 能力 面临 挑战
__label__3 , 小摩 下调 中国 今年 乘用车 销售 预测 降 北汽 评级 中性
__label__3 , 莫 明慧 辞任 耐世特 联席 公司 秘书 授权代表 职
__label__3 , 月 日 港股通 减持 比例 排名
__label__2 , 耐世特 艾迪威 采购 若干 机械式 齿轮 齿条 转向器
__label__2 , 压力 挑战 共存 耐世特 未来 保持 现金 牛
__label__2 , 大和 下调 耐世特 目标价 至元 维持 跑 赢大 市 评级
__label__2 , 耐世特 上半年 净利 同比 增长 亿美元
__label__2 , 耐世特 下周 发 业绩 现升近 破百 天线
__label__1 , 瑞信 耐世特 评级 升至 跑 赢大 市 目标价 上调 至元
__label__1 , 广发 海外 汽车 新规 助推 港股 龙头 车企 前景 向好
__label__1 , 大行 评级 国泰君安 耐世特 业务 继续 预期 持续增长 维持 收集 评级
__label__1 , 大行 评级 大和 料 耐世特 明年 盈利 增长 强劲 续 跑 赢大 市
__label__2 , 枫叶教育 获 主席 兼 任书良 增持 万股
__label__2 , 国金证券 枫叶教育 学生 数 调整 净利 稳健 发展
__label__2 , 枫叶教育 中期 调整 纯利 同比增加 亿元 每股 派息 港仙
__label__1 , 枫叶教育 中期 净利润 升至 亿元 拟派 中期 息港 仙
__label__1 , 入读 学生 同比增加 枫叶教育 重拾 估值
__label__2 , 港股 午评 港股 恒指 冲高 回落 跌点 得而复失
__label__2 , 枫叶教育 年 月末 枫叶学校 入读 学生 总数 万名 同比 增
__label__2 , 枫叶教育 折让 发行 万股 代价 股份
__label__2 , 枫叶教育 获 主席 兼 任书良 增持 万股
__label__2 , 枫叶教育 完成 收购 泸州 七中 佳德 教育 股权
__label__2 , 教育 行业 找准 定位 民办教育 大有可为
__label__3 , 营收 高速 增长 负债 一度 零 枫叶教育 政策 频发 何去何从
__label__3 , 枫叶教育 逾 亿 进军 四川 外延 并购 模式 遭遇 政策 冲击
__label__1 , 港股 异动 获 主席 兼 首席 执行官 任书良 增持 万股 枫叶教育 涨近
__label__3 , 枫叶教育 半年 新增 学校 快速 扩张 之下 应对 政策 风险
__label__3 , 枫叶教育 年 盈利 亿元 同比 增长
__label__3 , 格菱控股 预计 于年 上半年 联交所 重新 递交 新 上市 申请 继续 停牌
__label__2 , 格菱控股 拟 上半年 重新 递交 新 上市 申请
__label__3 , 格菱控股 午间 港交所 公告 称 继续 停牌 直至 刊发 进一步 通告
__label__2 , 格菱控股 月 左右 重新 提交 新 上市 申请
__label__3 , 格菱控股 拟年 上半年 完成 更新 重组 协议 相关 交易 继续 停牌
__label__3 , 格菱控股 延长 更新 重组 协议 最后 截止 日期 继续 停牌
__label__1 , 格菱控股 拟 计划 年 上半年 完成 更新 重组 协议 交易 复牌
__label__1 , 格菱控股 拟 延长 重组 最后 截止 日期 继续 停牌
__label__1 , 平安健康 首款 健康 管理型 产品 用户数 突破 万
__label__1 , 格菱控股 获 联交所 淮许 递交 新 上市 申请
__label__1 , 格菱控股 签订 一份 构成 反收购 收购 协议
__label__2 , 格菱控股 拟 亿港元 收购 一家 废弃物 料 回收 加工 公司 股权
__label__1 , 格菱控股 资产重组 成 反向 收购 提交 新 上市 申请
__label__1 , 格菱控股 拟 委任 陈浩贤 会计师事务所 公司 新任 核数师
__label__2 , 联交所 建议 反收购 事项 格菱控股 视为 新 上市 申请人 继续 停牌
__label__1 , 格菱控股 正 投资者 顾问 合作 准备 更新 复牌 建议
__label__3 , 格菱控股 撤回 覆核 除牌 申请
__label__3 , 格菱 前 执董 兼 內 附属 前 董事 谢 志庆 公安 逮捕
__label__3 , 格菱控股 工行支行 追债
__label__3 , 格菱控股 两 附属 遭 查封 房产 冻结 户口
__label__2 , 霭华押业信贷 放贷 万港元
__label__2 , 霭华押业信贷 名 客户 订立 万港元 抵押 贷款
__label__1 , 霭华押业信贷 获 股东 殷鉴 昌 增持 万股
__label__2 , 霭华押业信贷 拟向 客户 丁 提供 万港元 贷款
__label__2 , 霭华押业信贷 授出 合共 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 放贷 万港元 利率
__label__2 , 霭华押业信贷 合计 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 合计 万港元 贷款
__label__2 , 霭华押业信贷 授出 一笔 万港元 贷款
__label__2 , 霭华押业信贷 附属 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 短期贷款
__label__2 , 霭华押业信贷 附属 授出 万港元 贷款
__label__2 , 霭华押业信贷 附属 贷出 万元
__label__2 , 霭华押业信贷 授出 一笔 万港元 贷款
__label__2 , 霭华押业信贷 采纳 股息 政策
__label__2 , 霭华押业信贷 授出 一笔 金额 万港元 贷款
__label__2 , 霭华押业信贷 股代息 计划 溢价 发行 万 股份
__label__2 , 霭华押业信贷 合计 授出 万港元 贷款
__label__2 , 霭华押业信贷 六名 客户 合计 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 一笔 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 一笔 万港元 贷款
__label__2 , 霭华押业信贷 授出 一笔 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 回购 万股 涉资 万港元
__label__2 , 霭华押业信贷 回购 万股 涉资 万港元
__label__2 , 霭华押业信贷 授出 万港元 贷款
__label__2 , 霭华押业信贷 回购 万股 涉资 万港元
__label__3 , 霭华押业信贷 中期 股东 应 占 溢利 减少 万港元
